service_type,department,division,position_number,job_title,total_pay,city,state
Education,Cambridge Public Schools,Secondary School Education,00001123,Teacher Special Educator,109156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001448,Teacher Special Educator,109156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005124,SocialWorker/AdjustmentCounsel,109156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001102,Occupational Therapist,109156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005127,SocialWorker/AdjustmentCounsel,109156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001565,SocialWorker/AdjustmentCounsel,109156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005058,SocialWorker/AdjustmentCounsel,109156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00008140,SocialWorker/AdjustmentCounsel,109156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008369,SocialWorker/AdjustmentCounsel,109156,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-281,Police Officer,109124,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-060,Police Officer,109124,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-114,Police Officer,109124,Cambridge,MA
Public Safety,Police,Patrol,P465-256,Police Officer,109124,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-288,Police Officer,109124,Cambridge,MA
Public Safety,Police,Family and Social Justice,P465-146,Police Officer,109124,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-187,Police Officer,109124,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-125,Police Officer,109124,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-246,Police Officer,109124,Cambridge,MA
Public Safety,Police,Training,P465-144,Police Officer,109124,Cambridge,MA
Human Resource Development,Human Services,Multi-Service Center,M478-701,Multiservice Center Direc,109085,Cambridge,MA
Community Maintenance and Development,Community Development,Zoning and Development,M592-717,Project Planner/Com Devel,108904,Cambridge,MA
Public Safety,Police,Patrol,P465-109,Police Officer,108854,Cambridge,MA
Public Safety,Police,Patrol,P465-063,Police Officer,108854,Cambridge,MA
Public Safety,Police,Patrol,P465-264,Police Officer,108854,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001573,Teacher Special Educator,108829,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,A904-701,Engineering Inspector,108776,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,A904-702,Engineering Inspector,108776,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-173,Police Officer,108747,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-049,Police Officer,108747,Cambridge,MA
Public Safety,Police,Administration,P465-290,Police Officer,108747,Cambridge,MA
Public Safety,Police,Training,P465-138,Police Officer,108747,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-213,Police Officer,108747,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-189,Police Officer,108747,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-210,Police Officer,108747,Cambridge,MA
Public Safety,Police,Administration,P465-003,Police Officer,108747,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-143,Police Officer,108747,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00008336,Teacher Special Educator,108628,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00002354,Ops Asst / COVID-19 Coord,108021,Cambridge,MA
Public Safety,Police,Criminal Investigations,P465-054,Police Officer,107992,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M455-701,Dir.College Sucess Initiative,107926,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,M874-701,Production Manager/Water,107823,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,M153-002,Assistant Distribution Mgr,107823,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,M236-001,Supervisor/Water Quality,107823,Cambridge,MA
Public Safety,Police,Patrol,P465-227,Police Officer,107397,Cambridge,MA
Public Safety,Police,Patrol,P465-123,Police Officer,107397,Cambridge,MA
Public Safety,Police,Patrol,P465-050,Police Officer,107397,Cambridge,MA
General Government,Finance,Information Technology,M119-703,Junior Web Developer,107299,Cambridge,MA
Public Safety,Police,Family and Social Justice,P465-169,Police Officer,107296,Cambridge,MA
Public Safety,Police,Patrol,P465-030,Police Officer,107296,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-034,Police Officer,107296,Cambridge,MA
General Government,Finance,Information Technology,M347-701,Technology Training Specialist,107273,Cambridge,MA
General Government,Finance,Information Technology,M212-701,UX Designer/Front End Develope,107273,Cambridge,MA
General Government,Finance,Treasury,M304-702,Sr. Business Prodution Analyst,107273,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C625-001,Electrician Coordinator,107243,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-137,Police Officer,107238,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-286,Police Officer,107238,Cambridge,MA
Public Safety,Police,Traffic Enforcement,P465-073,Police Officer,107238,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000628,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000624,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005350,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000991,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005003,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001571,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001619,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000597,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000563,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004744,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004637,Math Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004171,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000754,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005326,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005315,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005311,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005309,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004605,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00007179,Teacher/Behavioral Specialist,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005364,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004535,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000748,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000973,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004467,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005187,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00007296,Teacher Assistive Technology,107156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00007309,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000521,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000109,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004330,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005087,Teacher/Behavioral Specialist,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005215,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000733,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000982,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005222,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004830,Math Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004602,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004306,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007274,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000471,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00002282,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005408,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005371,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005374,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005376,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00002254,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001986,Math Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007257,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005471,Library Technology Specialist,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004318,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004359,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004106,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004099,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005628,Literacy Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004095,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004445,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004669,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001451,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004738,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004835,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001444,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00003308,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002573,Literacy Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005452,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005455,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002570,Early Literacy Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005045,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005080,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000610,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001850,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000472,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001807,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001634,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007204,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001629,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001608,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001595,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001590,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001413,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000485,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005146,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001542,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001534,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001404,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001512,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000524,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008366,Literacy Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001465,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001459,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005638,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00002271,Trainer,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001150,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001403,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007141,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008230,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00008346,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001105,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000978,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007149,Teacher/Staff Developer,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000767,Literacy Interventionist,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000915,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000914,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000907,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001106,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000825,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000659,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005079,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000651,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000702,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000707,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000708,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000724,Teacher Special Educator,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000639,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000637,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000756,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000783,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000930,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000936,Teacher,107156,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005378,Teacher,107155,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005428,Teacher,106829,Cambridge,MA
Public Safety,Police,Patrol,P465-159,Police Officer,106357,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M173-701,Prog Mgr for Energy & Sustain,106357,Cambridge,MA
Public Safety,Police,Patrol,P465-253,Police Officer,106357,Cambridge,MA
Public Safety,Police,Patrol,P465-247,Police Officer,106357,Cambridge,MA
Human Resource Development,Library,Main Library,M613-001,Digital Equity Manager,105958,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000083,School Committee Secretary,105926,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000519,SocialWorker/AdjustmentCounsel,105920,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001981,Fiscal & Operations Manager,105590,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004173,Finance Manager for CRLS,105590,Cambridge,MA
Education,Cambridge Public Schools,Operations,00004204,Student Data Coordinator,105590,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00008329,Fiscal & Operations Manager,105590,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000149,HRIS Data Coordinator,105590,Cambridge,MA
Community Maintenance and Development,Community Development,Housing,M592-728,Project Planner/Com Devel,105464,Cambridge,MA
Human Resource Development,Library,Main Library,M417-701,Manager of Adult Services,105408,Cambridge,MA
Human Resource Development,Library,Main Library,M402-701,Manager of Collection Svcs,105408,Cambridge,MA
Human Resource Development,Library,Branch Libraries,M411-701,Manager of Branch Services,105408,Cambridge,MA
Human Resource Development,Library,Main Library,M416-701,Manager/Borrower Services,105408,Cambridge,MA
Human Resource Development,Library,Branch Libraries,M411-702,Manager of Branch Services,105408,Cambridge,MA
Human Resource Development,Library,Main Library,M404-706,Assoc Librarian,105408,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004453,Program Manager,105355,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004618,Program Manager,105355,Cambridge,MA
Public Safety,Police,Criminal Investigations,M481-701,Forensic Identification Spec.,105334,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001412,Teacher Special Educator,105147,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000768,Early Literacy Interventionist,105147,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000758,Teacher,105147,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000611,Teacher,105147,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005495,InstructionalSupportCoach,104714,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-730,Project Planner/Com Devel,104644,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005224,Teacher Special Educator,104487,Cambridge,MA
General Government,Executive,Leadership,M683-001,Exec Asst to the Deputy City Mngr,104352,Cambridge,MA
Human Resource Development,Library,Main Library,M401-701,"Mgr of Library Comm.,Prg&Event",104338,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002264,Teacher,103920,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00008375,Math Interventionist,103920,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001582,Teacher,103920,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000946,Teacher,103920,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005357,Teacher,103920,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001147,Teacher Special Educator,103920,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005032,Literacy Interventionist,103920,Cambridge,MA
General Government,Finance,Information Technology,M530-701,Physical Security System Eng.,103867,Cambridge,MA
General Government,Finance,Assessing,M386-701,Commercial Appraiser,103793,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000139,Executive Ass't/Supt Office,103770,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C622-001,Electrician Coordinator/Tech S,103562,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Administration,M553-701,Technology Project Manager,103543,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001401,Teacher Special Educator,103499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004329,Occupational Therapist,103499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001117,Teacher,103493,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004722,After-school Manager,103343,Cambridge,MA
General Government,Executive,Leadership,M070-702,Exec Asst To City Mngr,103318,Cambridge,MA
Public Safety,Police,Commissioner's Office,M042-001,Office Manager/Police,103318,Cambridge,MA
General Government,Finance,Auditing,Principal,Principal Account. Fin.Analyst,103318,Cambridge,MA
Public Safety,Police,"Planning, Budget & Personnel",M181-003,"Asst Dir/Planning, Budget, Per",103318,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004459,Speech/Language Pathologist,103239,Cambridge,MA
General Government,Finance,Purchasing,M021-001,Asst Purch Agent for Sup.& Ser,103133,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M903-701,Fiscal Project Manager,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,M246-701,Proj Admin/Landscape,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,M620-701,Assistant City Arborist,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M323-701,Technical Support Specialist,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,M258-001,Landscape Administrator,102917,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,M201-701,GIS Specialist/Comm Dev,102917,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M127-701,Public Safety Tech.Sup.Spec.,102917,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M127-702,Public Safety Tech.Sup.Spec.,102917,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M127-703,Public Safety Tech.Sup.Spec.,102917,Cambridge,MA
General Government,Finance,Information Technology,M550-701,GIS Technical Specialist,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M367-701,GIS Specialist/Engineering,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M595-701,Human Resources Mngr/DPW,102917,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M422-001,Community Relations Manager,102917,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00002359,HR Director/Manager,102825,Cambridge,MA
Human Resource Development,Veterans' Services,Administration & Benefits,M251-001,"Deputy Director, Vet.Srvc Off.",102664,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Street Management,M091-702,Traffic Engineer,102582,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Street Management,M091-703,Traffic Engineer,102582,Cambridge,MA
Community Maintenance and Development,Community Development,Economic Opportunity and Development,M592-730,Project Planner/Com Devel,102344,Cambridge,MA
Community Maintenance and Development,Community Development,Housing,M599-719,Project Planner/Com Devel/CA,102113,Cambridge,MA
General Government,Finance,Budget,M184-004,Principal Budget Analyst,102090,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000656,Speech/Language Pathologist,102032,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004302,Speech/Language Pathologist,102032,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,J307-001,Construction Utility Insp/Lic,102012,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,J307-002,Construction Utility Insp/Lic,102012,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M914-701,Project Manager-Contracts/DPW,101705,Cambridge,MA
Human Resource Development,Human Services,Recreation,M452-701,Director of Golf,101535,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005583,Teacher,101500,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005342,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005395,Library Technology Specialist,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001618,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000712,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000625,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004810,Teacher Special Educator,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001482,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005635,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000781,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000729,Teacher Special Educator,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000690,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00008227,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004868,Teacher Special Educator,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001570,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005369,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000747,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00002256,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00002258,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000664,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001515,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001526,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001528,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001835,Teacher-Support Content Instru,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004166,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007290,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004446,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001477,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008145,Teacher,101499,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005173,Math Interventionist,101499,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000962,Teacher,101499,Cambridge,MA
General Government,Law,Administration,M434-001,Office Manager/Law,101368,Cambridge,MA
General Government,Law,Administration,M341-701,Public Records Access Officer,101368,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-735,Project Planner/Com Devel,101203,Cambridge,MA
Community Maintenance and Development,Water,Administration,M873-701,Facilities Manager,100997,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,M200-701,Instrumentation & Maint. Mgr,100997,Cambridge,MA
Public Safety,Police,Patrol,P465-084,Police Officer,100898,Cambridge,MA
Public Safety,Police,Patrol,P465-052,Police Officer,100835,Cambridge,MA
Public Safety,Police,Patrol,P465-104,Police Officer,100835,Cambridge,MA
General Government,Executive,Leadership,X271-001,Strategic Initiative Advisor,100776,Cambridge,MA
Education,Cambridge Public Schools,Operations,00001890,Lead Carpenter,100754,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,M593-703,Office Manager/CDD,100681,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Administration,M553-702,Technology Project Manager,100577,Cambridge,MA
Public Safety,Police,Patrol,P465-043,Police Officer,100564,Cambridge,MA
Public Safety,Police,Patrol,P465-037,Police Officer,100564,Cambridge,MA
Public Safety,Police,Patrol,P465-048,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-170,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-294,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-245,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-047,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-042,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-076,Police Officer,100501,Cambridge,MA
Public Safety,Police,Patrol,P465-090,Police Officer,100501,Cambridge,MA
