service_type,department,division,position_number,job_title,total_pay,city,state
Community Maintenance and Development,Public Works,Solid Waste,C644-241,Laborer,47114,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002376,Aide-7,47040,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005066,Aide-7,47040,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007153,Aide-6.5,46887,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002148,Aide-6.5,46877,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008199,Aide-7,46793,Cambridge,MA
Human Resource Development,Human Services,Elderly Services & Council on Aging,M860-701,Senior Acitivites Assistant,46711,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C644-018,Laborer,46662,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004042,Aide-6.5,46600,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00008311,Aide-6.5,46600,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005522,Aide-6.5,46600,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004027,Aide-6.5,46600,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-054,Laborer,46479,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000939,Aide-6.5,46399,Cambridge,MA
General Government,Executive,Domestic & Gender-Based Violence Prevention Initiative,M345-701,Prevention Specialist,46326,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005532,Aide-7,46326,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005398,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008345,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005234,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005219,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002233,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005399,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005577,Aide-6.5,46277,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002210,Aide-6.5,46152,Cambridge,MA
General Government,City Clerk,Administration,C107-706,Principal Clerk,46138,Cambridge,MA
Human Resource Development,Human Services,Agenda for Children Literacy and OST,M283-701,CYP Youth Connector,46120,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007259,Aide-7,46079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007148,Aide-7,46079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004489,Aide-7,46020,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-705,Head Teacher/Daycare,45928,Cambridge,MA
